title,network,current_price,msrp,status
"Animal Crossing: New Horizons","amazon","$59.88","MSRP $59.99","OK"
"Donkey Kong Bananza","amazon","$69.00","MSRP $69.99","OK"
"Mario Kart 8 Deluxe","amazon","$42.99","MSRP $59.99","OK"
"Mario Kart World","amazon","$79.99","MSRP $69.99","OK"
"Mario Party Superstars","amazon","$53.99","MSRP $59.99","OK"
"Metroid Prime 4: Beyond","amazon","$69.99","MSRP $59.99","OK"
"Nintendo Switch Sports","amazon","$49.50","MSRP $59.99","OK"
"Pokémon Legends: Arceus","amazon","$56.49","MSRP $59.99","OK"
"Pokémon Scarlet &#38; Violet","amazon","$119.99","MSRP $59.99","OK"
"Ring Fit Adventure","amazon","$99.99","MSRP $59.99","OK"
"Super Mario Bros. Wonder","amazon","$53.99","MSRP $59.99","OK"
"Super Mario Odyssey","amazon","$53.70","MSRP $59.99","OK"
"Super Smash Bros. Ultimate","amazon","$52.99","MSRP $59.99","OK"
"The Legend of Zelda: Breath of the Wild","amazon","$63.75","MSRP $59.99","OK"
"The Legend of Zelda: Tears of the Kingdom","amazon","$63.98","MSRP $59.99","OK"
"007 First Light","gmg","$69.99","MSRP $59.99","OK"
"Assassin's Creed Shadows","gmg","—","MSRP $59.99","search-link(no single product price)"
"Astor: Blade of the Monolith","gmg","$24.99","MSRP $69.99","OK"
"Avatar: Frontiers of Pandora","gmg","$29.99","MSRP $59.99","OK"
"Bayonetta","gmg","$19.99","MSRP $59.99","OK"
"Black Myth: Wukong","gmg","$59.99","MSRP $69.99","OK"
"CALL OF DUTY®: MODERN WARFARE","gmg","$19.39","MSRP $69.99","OK"
"Cyberpunk 2077","gmg","$59.99","MSRP $69.99","OK"
"Demon Slayer -Kimetsu no Yaiba","gmg","$69.99","MSRP $59.99","OK"
"Destiny 2: Renegades","gmg","$16.99","MSRP $59.99","OK"
"Destiny 2: The Collection","gmg","$69.60","MSRP $59.99","OK"
"Destiny 2: The Edge of Fate","gmg","$19.99","MSRP $59.99","OK"
"Disney Dreamlight Valley","gmg","$13.93","MSRP $59.99","OK"
"Elden Ring","gmg","$39.99","MSRP $59.99","OK"
"Final Fantasy VII Rebirth","gmg","$49.99","MSRP $69.99","OK"
"Final Fantasy XVI","gmg","$24.99","MSRP $69.99","OK"
"Forza Horizon 5","gmg","$19.99","MSRP $69.99","OK"
"Ghost of Tsushima","gmg","$59.99","MSRP $69.99","OK"
"God of War Ragnarök","gmg","$59.99","MSRP $69.99","OK"
"Grand Theft Auto V Enhanced &#38; Great White Shark Card Bundle","gmg","$44.99","MSRP $59.99","OK"
"Halo Infinite","gmg","—","MSRP $69.99","search-link(no single product price)"
"Helldivers 2","gmg","$39.99","MSRP $69.99","OK"
"Horizon Forbidden West","gmg","$59.99","MSRP $69.99","OK"
"Indiana Jones and the Great Circle","gmg","$15.05","MSRP $69.99","OK"
"Kingdom Come: Deliverance II","gmg","$21.00","MSRP $59.99","OK"
"LEGO® Batman™: Legacy of the Dark Knight","gmg","$58.79","MSRP $59.99","OK"
"MARVEL Tōkon: Fighting Souls Ultimate Edition","gmg","$99.99","MSRP $59.99","OK"
"Marvel's Spider-Man 2","gmg","$59.99","MSRP $59.99","OK"
"Marvel's Spider-Man: Miles Morales","gmg","$49.99","MSRP $69.99","OK"
"Metal Gear Solid V: The Definitive Experience","gmg","$39.99","MSRP $59.99","OK"
"Monster Hunter Wilds","gmg","$21.99","MSRP $59.99","OK"
"Ratchet &#38; Clank: Rift Apart","gmg","—","MSRP $69.99","search-link(no single product price)"
"Red Dead Redemption 2","gmg","$49.99","MSRP $59.99","OK"
"Returnal","gmg","$59.99","MSRP $69.99","OK"
"Rise of the Ronin","gmg","$21.75","MSRP $69.99","OK"
"SILENT HILL: Townfall","gmg","$37.49","MSRP $59.99","OK"
"STAR WARS: OUTLAWS – Gold Edition","gmg","$109.99","MSRP $59.99","OK"
"Sea of Thieves Castaway’s Ancient Coin Pack – 550 Coins","gmg","$5.81","MSRP $69.99","OK"
"Sovereign Tower","gmg","$12.57","MSRP $59.99","OK"
"Star Fire: Eternal Cycle","gmg","$11.04","MSRP $59.99","OK"
"Starfield","gmg","$7.30","MSRP $69.99","OK"
"Stellar Blade","gmg","$59.99","MSRP $69.99","OK"
"The Last of Us Part II Remastered","gmg","$49.99","MSRP $69.99","OK"
"Witchspire","gmg","$14.99","MSRP $59.99","OK"
"he Adventures of Elliot: The Millennium Tales","gmg","$59.99","MSRP $59.99","OK"
"Baldur's Gate II: Enhanced Edition","humble","—","MSRP $59.99","search-link(no single product price)"
"EA Sports FC 25","humble","—","MSRP $59.99","search-link(no single product price)"
"Dying Light 2 Stay Human: Reloaded Edition","fanatical","—","MSRP $59.99","JS-rendered page, no static price"
"Hogwarts Legacy","fanatical","—","MSRP $59.99","JS-rendered page, no static price"
"Humble Baldur's Gate II: Enhanced Edition","humble","$19.99","MSRP $59.99","OK(patched)"
"Humble EA Sports FC 25","humble","$79.99","MSRP $79.99","OK(patched)"
